Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Experimental Condition [Cell Origin],Experimental Condition [Cell Type],Experimental Condition [PDX Metastatic Efficiency],Comment [Experiment Date],Source Name,Comment [Series Location],Image File,Comment [Image File Comment],Comment [Image File Path],Comment [Image File Type],Channels
PDX_m528,140729_um12_m528.nd2 [140729_um12_m528.nd2 (series 13)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m528,low        ,140729,140729_um12_m528,13,140729_um12_m528.nd2,,data/raw/nd2/140729_um12_m528.nd2,raw,Phase contrast: Cells
PDX_m528,140729_um12_m528.nd2 [140729_um12_m528.nd2 (series 14)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m528,low        ,140729,140729_um12_m528,14,140729_um12_m528.nd2,,data/raw/nd2/140729_um12_m528.nd2,raw,Phase contrast: Cells
PDX_m528,140729_um12_m528.nd2 [140729_um12_m528.nd2 (series 15)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m528,low        ,140729,140729_um12_m528,15,140729_um12_m528.nd2,,data/raw/nd2/140729_um12_m528.nd2,raw,Phase contrast: Cells
PDX_m528,140729_um12_m528.nd2 [140729_um12_m528.nd2 (series 16)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m528,low        ,140729,140729_um12_m528,16,140729_um12_m528.nd2,,data/raw/nd2/140729_um12_m528.nd2,raw,Phase contrast: Cells
PDX_m528,140729_um12_m528.nd2 [140729_um12_m528.nd2 (series 17)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m528,low        ,140729,140729_um12_m528,17,140729_um12_m528.nd2,,data/raw/nd2/140729_um12_m528.nd2,raw,Phase contrast: Cells
PDX_m528,140729_um12_m528.nd2 [140729_um12_m528.nd2 (series 18)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m528,low        ,140729,140729_um12_m528,18,140729_um12_m528.nd2,,data/raw/nd2/140729_um12_m528.nd2,raw,Phase contrast: Cells
PDX_m528,140729_um12_m528.nd2 [140729_um12_m528.nd2 (series 19)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m528,low        ,140729,140729_um12_m528,19,140729_um12_m528.nd2,,data/raw/nd2/140729_um12_m528.nd2,raw,Phase contrast: Cells
PDX_m528,140729_um12_m528.nd2 [140729_um12_m528.nd2 (series 20)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m528,low        ,140729,140729_um12_m528,20,140729_um12_m528.nd2,,data/raw/nd2/140729_um12_m528.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141010_ATCC.nd2 [141010_ATCC.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141010,141010_ATCC,1,141010_ATCC.nd2,,data/raw/nd2/141010_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141010_ATCC.nd2 [141010_ATCC.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141010,141010_ATCC,2,141010_ATCC.nd2,,data/raw/nd2/141010_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141010_ATCC.nd2 [141010_ATCC.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141010,141010_ATCC,3,141010_ATCC.nd2,,data/raw/nd2/141010_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141010_ATCC.nd2 [141010_ATCC.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141010,141010_ATCC,4,141010_ATCC.nd2,,data/raw/nd2/141010_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141010_ATCC.nd2 [141010_ATCC.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141010,141010_ATCC,5,141010_ATCC.nd2,,data/raw/nd2/141010_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141010_ATCC.nd2 [141010_ATCC.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141010,141010_ATCC,6,141010_ATCC.nd2,,data/raw/nd2/141010_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141010_ATCC.nd2 [141010_ATCC.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141010,141010_ATCC,7,141010_ATCC.nd2,,data/raw/nd2/141010_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141010_ATCC.nd2 [141010_ATCC.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141010,141010_ATCC,8,141010_ATCC.nd2,,data/raw/nd2/141010_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141010_ATCC.nd2 [141010_ATCC.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141010,141010_ATCC,9,141010_ATCC.nd2,,data/raw/nd2/141010_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141010_ATCC.nd2 [141010_ATCC.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141010,141010_ATCC,10,141010_ATCC.nd2,,data/raw/nd2/141010_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141013_ATCC.nd2 [141013_ATCC.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141013,141013_ATCC,1,141013_ATCC.nd2,,data/raw/nd2/141013_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141013_ATCC.nd2 [141013_ATCC.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141013,141013_ATCC,2,141013_ATCC.nd2,,data/raw/nd2/141013_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141013_ATCC.nd2 [141013_ATCC.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141013,141013_ATCC,3,141013_ATCC.nd2,,data/raw/nd2/141013_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141013_ATCC.nd2 [141013_ATCC.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141013,141013_ATCC,4,141013_ATCC.nd2,,data/raw/nd2/141013_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141013_ATCC.nd2 [141013_ATCC.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141013,141013_ATCC,5,141013_ATCC.nd2,,data/raw/nd2/141013_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141013_ATCC.nd2 [141013_ATCC.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141013,141013_ATCC,6,141013_ATCC.nd2,,data/raw/nd2/141013_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141013_ATCC.nd2 [141013_ATCC.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141013,141013_ATCC,7,141013_ATCC.nd2,,data/raw/nd2/141013_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141013_ATCC.nd2 [141013_ATCC.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141013,141013_ATCC,8,141013_ATCC.nd2,,data/raw/nd2/141013_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141013_ATCC.nd2 [141013_ATCC.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141013,141013_ATCC,9,141013_ATCC.nd2,,data/raw/nd2/141013_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141013_ATCC.nd2 [141013_ATCC.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141013,141013_ATCC,10,141013_ATCC.nd2,,data/raw/nd2/141013_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141020_ATCC.nd2 [141020_ATCC.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141020,141020_ATCC,1,141020_ATCC.nd2,,data/raw/nd2/141020_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141020_ATCC.nd2 [141020_ATCC.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141020,141020_ATCC,2,141020_ATCC.nd2,,data/raw/nd2/141020_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141020_ATCC.nd2 [141020_ATCC.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141020,141020_ATCC,3,141020_ATCC.nd2,,data/raw/nd2/141020_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141020_ATCC.nd2 [141020_ATCC.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141020,141020_ATCC,4,141020_ATCC.nd2,,data/raw/nd2/141020_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141020_ATCC.nd2 [141020_ATCC.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141020,141020_ATCC,5,141020_ATCC.nd2,,data/raw/nd2/141020_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141020_ATCC.nd2 [141020_ATCC.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141020,141020_ATCC,6,141020_ATCC.nd2,,data/raw/nd2/141020_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141020_ATCC.nd2 [141020_ATCC.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141020,141020_ATCC,7,141020_ATCC.nd2,,data/raw/nd2/141020_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141020_ATCC.nd2 [141020_ATCC.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141020,141020_ATCC,8,141020_ATCC.nd2,,data/raw/nd2/141020_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141020_ATCC.nd2 [141020_ATCC.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141020,141020_ATCC,9,141020_ATCC.nd2,,data/raw/nd2/141020_ATCC.nd2,raw,Phase contrast: Cells
Melanocyte_ATCC,141020_ATCC.nd2 [141020_ATCC.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Melanocyte,ATCC,           ,141020,141020_ATCC,10,141020_ATCC.nd2,,data/raw/nd2/141020_ATCC.nd2,raw,Phase contrast: Cells
PDX_um12,141029_um12.nd2 [141029_um12.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,um12,           ,141029,141029_um12,1,141029_um12.nd2,,data/raw/nd2/141029_um12.nd2,raw,Phase contrast: Cells
PDX_um12,141029_um12.nd2 [141029_um12.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,um12,           ,141029,141029_um12,2,141029_um12.nd2,,data/raw/nd2/141029_um12.nd2,raw,Phase contrast: Cells
PDX_um12,141029_um12.nd2 [141029_um12.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,um12,           ,141029,141029_um12,3,141029_um12.nd2,,data/raw/nd2/141029_um12.nd2,raw,Phase contrast: Cells
PDX_um12,141029_um12.nd2 [141029_um12.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,um12,           ,141029,141029_um12,4,141029_um12.nd2,,data/raw/nd2/141029_um12.nd2,raw,Phase contrast: Cells
PDX_um12,141029_um12.nd2 [141029_um12.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,um12,           ,141029,141029_um12,5,141029_um12.nd2,,data/raw/nd2/141029_um12.nd2,raw,Phase contrast: Cells
PDX_um12,141029_um12.nd2 [141029_um12.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,um12,           ,141029,141029_um12,6,141029_um12.nd2,,data/raw/nd2/141029_um12.nd2,raw,Phase contrast: Cells
PDX_um12,141029_um12.nd2 [141029_um12.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,um12,           ,141029,141029_um12,7,141029_um12.nd2,,data/raw/nd2/141029_um12.nd2,raw,Phase contrast: Cells
PDX_um12,141029_um12.nd2 [141029_um12.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,um12,           ,141029,141029_um12,8,141029_um12.nd2,,data/raw/nd2/141029_um12.nd2,raw,Phase contrast: Cells
PDX_um12,141029_um12.nd2 [141029_um12.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,um12,           ,141029,141029_um12,9,141029_um12.nd2,,data/raw/nd2/141029_um12.nd2,raw,Phase contrast: Cells
PDX_um12,141029_um12.nd2 [141029_um12.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,um12,           ,141029,141029_um12,10,141029_um12.nd2,,data/raw/nd2/141029_um12.nd2,raw,Phase contrast: Cells
PDX_m610,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150309,150309_m610_m405,1,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m610,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150309,150309_m610_m405,2,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m610,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150309,150309_m610_m405,3,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m610,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150309,150309_m610_m405,4,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m610,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150309,150309_m610_m405,5,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m610,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150309,150309_m610_m405,6,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m610,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150309,150309_m610_m405,7,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m610,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150309,150309_m610_m405,8,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m610,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150309,150309_m610_m405,9,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m610,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150309,150309_m610_m405,10,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 11)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150309,150309_m610_m405,11,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 12)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150309,150309_m610_m405,12,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 13)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150309,150309_m610_m405,13,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 14)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150309,150309_m610_m405,14,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 15)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150309,150309_m610_m405,15,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 16)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150309,150309_m610_m405,16,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 17)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150309,150309_m610_m405,17,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 18)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150309,150309_m610_m405,18,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 19)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150309,150309_m610_m405,19,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150309_m610_m405.nd2 [150309_m610_m405.nd2 (series 20)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150309,150309_m610_m405,20,150309_m610_m405.nd2,,data/raw/nd2/150309_m610_m405.nd2,raw,Phase contrast: Cells
PDX_m405,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150312,150312_m405_m610,1,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m405,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150312,150312_m405_m610,2,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m405,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150312,150312_m405_m610,3,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m405,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150312,150312_m405_m610,4,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m405,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150312,150312_m405_m610,5,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m405,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150312,150312_m405_m610,6,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m405,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150312,150312_m405_m610,7,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m405,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150312,150312_m405_m610,8,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m405,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150312,150312_m405_m610,9,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m405,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m405,high       ,150312,150312_m405_m610,10,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m610,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 11)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150312,150312_m405_m610,11,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m610,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 12)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150312,150312_m405_m610,12,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m610,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 13)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150312,150312_m405_m610,13,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m610,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 14)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150312,150312_m405_m610,14,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m610,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 15)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150312,150312_m405_m610,15,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m610,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 16)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150312,150312_m405_m610,16,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m610,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 17)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150312,150312_m405_m610,17,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m610,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 18)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150312,150312_m405_m610,18,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m610,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 19)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150312,150312_m405_m610,19,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m610,150312_m405_m610.nd2 [150312_m405_m610.nd2 (series 20)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m610,low        ,150312,150312_m405_m610,20,150312_m405_m610.nd2,,data/raw/nd2/150312_m405_m610.nd2,raw,Phase contrast: Cells
PDX_m481,150322_m481.nd2 [150322_m481.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m481,high       ,150322,150322_m481,1,150322_m481.nd2,,data/raw/nd2/150322_m481.nd2,raw,Phase contrast: Cells
PDX_m481,150322_m481.nd2 [150322_m481.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m481,high       ,150322,150322_m481,2,150322_m481.nd2,,data/raw/nd2/150322_m481.nd2,raw,Phase contrast: Cells
PDX_m481,150322_m481.nd2 [150322_m481.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m481,high       ,150322,150322_m481,3,150322_m481.nd2,,data/raw/nd2/150322_m481.nd2,raw,Phase contrast: Cells
PDX_m481,150322_m481.nd2 [150322_m481.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m481,high       ,150322,150322_m481,4,150322_m481.nd2,,data/raw/nd2/150322_m481.nd2,raw,Phase contrast: Cells
PDX_m481,150322_m481.nd2 [150322_m481.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m481,high       ,150322,150322_m481,5,150322_m481.nd2,,data/raw/nd2/150322_m481.nd2,raw,Phase contrast: Cells
PDX_m481,150322_m481.nd2 [150322_m481.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m481,high       ,150322,150322_m481,6,150322_m481.nd2,,data/raw/nd2/150322_m481.nd2,raw,Phase contrast: Cells
PDX_m481,150322_m481.nd2 [150322_m481.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m481,high       ,150322,150322_m481,7,150322_m481.nd2,,data/raw/nd2/150322_m481.nd2,raw,Phase contrast: Cells
PDX_m481,150322_m481.nd2 [150322_m481.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m481,high       ,150322,150322_m481,8,150322_m481.nd2,,data/raw/nd2/150322_m481.nd2,raw,Phase contrast: Cells
PDX_m481,150322_m481.nd2 [150322_m481.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m481,high       ,150322,150322_m481,9,150322_m481.nd2,,data/raw/nd2/150322_m481.nd2,raw,Phase contrast: Cells
PDX_m481,150322_m481.nd2 [150322_m481.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,PDX,m481,high       ,150322,150322_m481,10,150322_m481.nd2,,data/raw/nd2/150322_m481.nd2,raw,Phase contrast: Cells
